Rank,UNDP_Rank_2023,RankChange_2023_to_2050,RankChangeDisplay,DevelopmentMomentumScore,DevelopmentMomentumTier,IndustrializingMover,IndustrializationSignal,RankCluster,RankClusterSize,RankClusterLabel,ProjectionType,BaselineSource,BaselineDataYear,UNDP_Country,ISO3,Country,HDI_Baseline,HDI_2024_Local_Estimate,HDI_2024_vs_UNDP_HDR2025,HDI_2024,UNDP_HDI_2023,Population_2024,Population_2024_Source,Population_2050,Population_2050_Source,HDI_Baseline_Recomputed_From_Components,HDI_Baseline_Component_Mismatch,HDI_2024_Recomputed_From_Components,HDI_2024_Component_Mismatch,HDI_2050,HDI_2050_Gain,HDI_P10,HDI_P50,HDI_P90,HDI_Optimistic,HDI_Pessimistic,Interval_Contains_Baseline_HDI,Interval_Contains_2024_HDI,LifeExp_Baseline,GNI_PPP_Baseline,ExpSchool_Baseline,MeanSchool_Baseline,HealthIndex_2025,EducationIndex_2025,IncomeIndex_2025,HealthIndex_2050,EducationIndex_2050,IncomeIndex_2050,HDI_2050_Recomputed_From_Indices,HDI_2050_Index_Mismatch,LifeExp_2024,GNI_PPP_2024,ExpSchool_2024,MeanSchool_2024,InstEfficiency,TechFactor,DemoFactor,MedianAge_2024,MedianAge_2050,MedianAgeShift_2024_to_2050,Youth014Pct_2024,Youth014Pct_2050,WorkingAgePct_2024,WorkingAgePct_2050,WorkforceChangePP_2024_to_2050,Elderly65PlusPct_2024,Elderly65PlusPct_2050,Elderly65PlusChangePP_2024_to_2050,ChildDependencyRatio,OldAgeDependencyRatio,TotalDependencyRatio,AgePyramidScore,WorkforceDepth,WorkforceMomentum,YouthDependencyPressure,AgingPressure,DevelopedDemographicAdaptation,AdaptedAgingPressure,FertilityWindow,HumanCapitalAbsorption,DemographicDividend,DependencyPressure,DemographicHDIMultiplier,DemographicHDIAdjustment,FutureReadiness,DigitalInfraDevelopment,DigitalInfraHDIAdjustment,RecoveryPotential2050,ResourceDependence,GrowthVolatility,EconomicDiversification,ResourceDrag,IndustrializationHDIAcceleration,DevelopingCatchupReadiness,GrowthProspectScore,LowGrowthProspectDrag,TrajectoryHDISpeedMultiplier,TrajectoryHDICapMultiplier,TrajectoryHDIShockMultiplier,Gini_2024,InfantMortality_2024,ClimateRisk_2024,Fertility_2024,Urbanization_2024,PoliticalStability_2024,RuleOfLaw_2024,Physicians_2024,HealthExp_2024,RenewableShare_2024,Contrib_Income,Contrib_Education,Contrib_Health,Contrib_Governance,Contrib_Demographics,Contrib_Technology,Contrib_Recovery,Contrib_Inequality,Contrib_Climate,Contrib_ShockRisk,ai_adoption_index,robot_density,semiconductor_production,green_energy_investment,ev_adoption,battery_capacity,high_speed_rail,startup_ecosystem,venture_capital,cloud_adoption,Trajectory,Rank_Best_P90,Rank_Worst_P10
49,53,4,+4,39.29,emerging_mover,False,0.32,21,3,Cluster 21,scenario_projection,UNDP_HDR_2025_Table_1,2023,Antigua and Barbuda,ATG,Antigua & Barbuda,0.851,0.78,-0.071,0.78,0.851,93782,un_wpp_owid_2024,95062,un_wpp_owid_2050,0.8149,-0.0361,0.8149,-0.0361,0.8861,0.0351,0.8276,0.8861,0.9035,0.9035,0.8276,True,False,77.598,27386.5179,15.503,11.6475,0.847,0.7918,0.8068,0.91229,0.871191,0.875391,0.8861,1.1e-07,77.598,27386.5179,15.503,11.6475,0.9,1.0302,1.0136,35.0,35.0,0.0,20.1713,20.1713,65.0,65.0,0.0,14.8287,14.8287,0.0,0.3103,0.2281,0.5385,0.9865,0.6818,0.5,0.0,0.1286,0.0,0.1286,0.9167,0.7754,0.6775,0.088,1.0908,0.0042,0.3216,0.4839,0.0023,0.0,0.12,0.22,0.6,0.0126,0.0984,0.3302,0.7266,0.2734,1.0,1.0,1.0,0.38,25.0,0.3,2.3,0.55,0.0,0.0,1.5,6.0,0.2,0.0026,0.004,0.0019,0.012,0.0129,0.0054,0.0,-0.0007,-0.0019,-0.0012,0.2902,0.27,0.2069,0.3613,0.4402,0.2209,0.4383,0.2827,0.3785,0.3275,moderate,38,96
50,60,10,+10,55.3,rapid_industrializer,True,0.42,21,3,Cluster 21,scenario_projection,UNDP_HDR_2025_Table_1,2023,Kazakhstan,KAZ,Kazakhstan,0.837,0.811,-0.026,0.811,0.837,20592574,un_wpp_owid_2024,26544266,un_wpp_owid_2050,0.8017,-0.0353,0.8017,-0.0353,0.8857,0.0487,0.8118,0.8857,0.9032,0.9032,0.8118,True,False,74.402,30988.5284,14.0086,12.5472,0.8,0.7812,0.8246,0.881603,0.874703,0.901003,0.8857,-1e-08,74.402,30988.5284,14.0086,12.5472,1.0,1.134,0.9613,30.8,37.5,6.7,23.4614,18.2023,67.5,62.14,-5.36,9.0386,19.6577,10.6191,0.2929,0.3163,0.6093,0.9288,0.5518,0.165,0.0,0.3481,0.0,0.3481,0.8732,0.7132,0.468,0.2176,1.0073,0.0004,0.421,0.5923,0.003,0.0,0.58,0.58,0.5,0.1804,0.1877,0.3444,0.7127,0.2873,1.08,1.08,0.96,0.3841,23.5449,0.1883,2.4043,0.6631,-0.2695,-0.1777,2.1301,5.9683,0.1165,0.0034,0.0064,0.0044,0.0177,0.0121,0.0104,0.0,-0.0013,-0.0018,-0.0025,0.4665,0.3627,0.3045,0.3817,0.5289,0.3052,0.5023,0.3749,0.4611,0.522,fast_converger,38,110
51,48,-3,-3,30.03,emerging_mover,False,0.4,22,3,Cluster 22,scenario_projection,UNDP_HDR_2025_Table_1,2023,Uruguay,URY,Uruguay,0.862,0.83,-0.032,0.83,0.862,3386583,un_wpp_owid_2024,3254355,un_wpp_owid_2050,0.8224,-0.0396,0.8224,-0.0396,0.8814,0.0194,0.8401,0.8814,0.8994,0.8994,0.8401,True,False,78.138,28649.822,17.484,10.54,0.855,0.7999,0.8133,0.911661,0.862657,0.870658,0.8814,-1e-08,78.138,28649.822,17.484,10.54,1.06,1.134,0.8686,35.8,44.5,8.7,18.2918,9.7018,66.5,59.54,-6.96,15.2082,30.7582,15.55,0.1629,0.5166,0.6795,0.7661,0.4336,0.065,0.0,0.8526,0.0,0.8526,0.9421,0.6619,0.1875,0.4495,0.89,-0.0045,0.4015,0.5591,0.0024,0.0,0.12,0.22,0.6,0.0124,0.1072,0.4055,0.8124,0.1876,1.0,1.0,1.0,0.3955,21.4097,0.1807,1.9611,0.7672,0.1603,-0.1763,2.2396,4.7715,0.0899,0.002,0.0029,0.0015,0.0103,-0.0,0.0052,0.0,-0.001,-0.0009,-0.0008,0.4587,0.3367,0.2865,0.3401,0.512,0.2843,0.4945,0.3525,0.434,0.5157,moderate,41,84
52,54,2,+2,46.52,fast_converger,False,0.32,22,3,Cluster 22,scenario_projection,UNDP_HDR_2025_Table_1,2023,Seychelles,SYC,Seychelles,0.848,0.785,-0.063,0.785,0.848,130436,un_wpp_owid_2024,141756,un_wpp_owid_2050,0.8096,-0.0384,0.8096,-0.0384,0.8833,0.0353,0.8246,0.8833,0.9011,0.9011,0.8246,True,False,72.862,29195.0379,18.2249,11.2,0.7774,0.8367,0.816,0.850423,0.914525,0.886124,0.8833,2.6e-07,72.862,29195.0379,18.2249,11.2,0.9,1.0302,0.9331,38.4,43.0,4.6,14.2836,10.1449,68.0,64.32,-3.68,17.7164,25.5351,7.8186,0.1577,0.397,0.5547,0.8907,0.6509,0.27,0.0,0.6152,0.0,0.6152,0.9167,0.7563,0.434,0.2749,0.9957,-0.0008,0.3242,0.483,0.0023,0.0,0.12,0.22,0.6,0.0126,0.1813,0.3422,0.7347,0.2653,1.0,1.0,1.0,0.38,25.0,0.3,2.3,0.55,0.0,0.0,1.5,6.0,0.2,0.0031,0.0041,0.0038,0.0143,0.008,0.0071,0.0,-0.0009,-0.0025,-0.0017,0.2902,0.2726,0.2069,0.3653,0.4456,0.2219,0.4424,0.2848,0.3827,0.3296,moderate,39,100
53,59,6,+6,49.64,fast_converger,False,0.35,22,3,Cluster 22,scenario_projection,UNDP_HDR_2025_Table_1,2023,Panama,PAN,Panama,0.839,0.805,-0.034,0.805,0.839,4515576,un_wpp_owid_2024,5630682,un_wpp_owid_2050,0.8045,-0.0345,0.8045,-0.0345,0.8825,0.0435,0.8143,0.8825,0.9005,0.9005,0.8143,True,False,79.594,34384.5681,13.3116,10.8338,0.8764,0.7076,0.8395,0.942179,0.803582,0.90778,0.8825,6e-08,79.594,34384.5681,13.3116,10.8338,1.0,1.134,0.9433,30.2,38.5,8.3,23.6811,17.1006,68.0,61.36,-6.64,8.3189,21.5394,13.2205,0.2787,0.351,0.6297,0.8967,0.5164,0.085,0.0,0.4336,0.0,0.4336,0.9167,0.6691,0.3952,0.263,0.9746,-0.0011,0.3451,0.5221,0.0026,0.0,0.12,0.22,0.6,0.013,0.1855,0.3318,0.7163,0.2837,1.08,1.08,0.96,0.38,25.0,0.3,2.3,0.55,0.0,0.0,1.5,6.0,0.2,0.003,0.0086,0.0023,0.0177,0.009,0.0089,0.0,-0.0011,-0.0029,-0.0022,0.3375,0.2791,0.2069,0.3758,0.4594,0.2245,0.4528,0.3201,0.4164,0.3785,fast_converger,41,106
54,69,15,+15,62.83,rapid_industrializer,False,0.3,23,1,Cluster 23,scenario_projection,UNDP_HDR_2025_Table_1,2023,Barbados,BRB,Barbados,0.811,0.81,-0.001,0.81,0.811,282476,un_wpp_owid_2024,264225,un_wpp_owid_2050,0.7739,-0.0371,0.7739,-0.0371,0.8806,0.0696,0.7879,0.8806,0.8988,0.8988,0.7879,True,True,76.178,17327.5205,16.628,9.9284,0.8261,0.7571,0.741,0.919149,0.875847,0.848246,0.8806,-4e-08,76.178,17327.5205,16.628,9.9284,0.9,1.0302,1.0429,39.5,35.0,-4.5,14.1755,18.0965,65.0,68.6,3.6,20.8245,13.3035,-7.521,0.2638,0.1939,0.4577,0.9649,0.8455,0.725,0.0,0.0592,0.0,0.0592,0.9167,0.8007,0.804,0.0213,1.1372,0.0084,0.3035,0.4902,0.0031,0.0,0.12,0.22,0.6,0.0125,0.2,0.3612,0.7504,0.2496,1.0,1.0,1.0,0.38,25.0,0.3,2.3,0.55,0.0,0.0,1.5,6.0,0.2,0.0066,0.0082,0.0039,0.0211,0.0271,0.0093,0.0,-0.0012,-0.0033,-0.002,0.2902,0.2518,0.2069,0.3321,0.4015,0.2136,0.4091,0.2682,0.3487,0.3129,moderate,41,124
55,46,-9,-9,24.81,stable_or_slow,False,0.35,24,2,Cluster 24,scenario_projection,UNDP_HDR_2025_Table_1,2023,Hungary,HUN,Hungary,0.87,0.846,-0.024,0.846,0.87,9676135,un_wpp_owid_2024,8725349,un_wpp_owid_2050,0.8343,-0.0357,0.8343,-0.0357,0.8776,0.0076,0.8402,0.8776,0.8963,0.8963,0.8402,True,True,77.024,37236.0746,15.4694,12.3316,0.8386,0.8139,0.851,0.880986,0.858587,0.893586,0.8776,-1.2e-07,77.024,37236.0746,15.4694,12.3316,1.05,1.1025,0.8356,43.6,49.0,5.4,9.7063,5.5648,63.5,59.18,-4.32,26.7937,35.2552,8.4616,0.094,0.5957,0.6898,0.7095,0.4173,0.23,0.0,1.0,0.0,1.0,0.9167,0.6433,0.1447,0.5098,0.8659,-0.0051,0.3479,0.5289,0.0021,0.0,0.12,0.22,0.6,0.0122,0.0989,0.3414,0.75,0.25,1.0,1.0,1.0,0.38,25.0,0.3,2.3,0.55,0.0,0.0,1.5,6.0,0.2,0.0007,0.0013,0.0007,0.0049,-0.0006,0.0021,0.0,-0.0003,-0.0007,-0.0005,0.3256,0.2823,0.2069,0.3808,0.4661,0.2258,0.4579,0.3151,0.4355,0.3832,moderate,41,84
56,52,-4,-4,34.51,emerging_mover,False,0.38,24,2,Cluster 24,scenario_projection,UNDP_HDR_2025_Table_1,2023,Kuwait,KWT,Kuwait,0.852,0.831,-0.021,0.831,0.852,4934508,un_wpp_owid_2024,6367757,un_wpp_owid_2050,0.8058,-0.0462,0.8058,-0.0462,0.8779,0.0259,0.8277,0.8779,0.8966,0.8966,0.8277,True,True,80.405,56612.047,15.9042,7.566,0.8883,0.6464,0.9112,0.952857,0.729667,0.973156,0.8779,-1.7e-07,80.405,56612.047,15.9042,7.566,1.02,1.134,1.0023,36.8,42.0,5.2,13.2,9.55,74.0,69.84,-4.16,12.8,20.61,7.81,0.1367,0.2951,0.4318,0.9181,0.9018,0.24,0.0,0.3914,0.0,0.3914,0.9167,0.7422,0.6033,0.1409,1.0582,0.002,0.379,0.5445,0.0025,0.0,0.92,0.58,0.4,0.3035,0.0897,0.2694,0.6311,0.3689,1.0,1.0,1.0,0.38,25.0,0.3,2.3,0.55,0.0,0.0,1.5,6.0,0.2,0.0006,0.0055,0.0011,0.0097,0.0082,0.0049,0.0,-0.0006,-0.0015,-0.0019,0.3808,0.2989,0.2069,0.4075,0.5015,0.2325,0.4846,0.3635,0.4755,0.4381,moderate,41,96
57,57,0,0,42.16,fast_converger,False,0.36,25,3,Cluster 25,scenario_projection,UNDP_HDR_2025_Table_1,2023,Georgia,GEO,Georgia,0.844,0.802,-0.042,0.802,0.844,3807668,un_wpp_owid_2024,3664012,un_wpp_owid_2050,0.8084,-0.0356,0.8084,-0.0356,0.875,0.031,0.8191,0.875,0.8942,0.8942,0.8191,True,False,74.496,20752.5701,16.7547,12.7,0.8014,0.8596,0.7669,0.868279,0.926477,0.83278,0.875,5e-08,74.496,20752.5701,16.7547,12.7,0.98,1.1025,0.8529,38.7,45.0,6.3,15.877,9.39,63.5,58.46,-5.04,20.623,32.15,11.527,0.1606,0.5499,0.7106,0.7355,0.3845,0.185,0.0,0.9159,0.0,0.9159,0.9311,0.669,0.1636,0.4944,0.8773,-0.0059,0.3632,0.5686,0.0027,0.0,0.12,0.22,0.6,0.013,0.187,0.3713,0.7465,0.2535,1.08,1.08,0.96,0.3617,11.8673,0.2352,1.9347,0.6928,-0.1955,0.3754,2.106,5.7767,0.1326,0.0045,0.0038,0.0044,0.0157,-0.0012,0.0089,0.0,-0.0001,-0.0021,-0.0029,0.4171,0.2876,0.2395,0.3319,0.4811,0.2426,0.459,0.3073,0.3941,0.4721,fast_converger,43,102
58,62,4,+4,47.2,fast_converger,False,0.33,25,3,Cluster 25,scenario_projection,UNDP_HDR_2025_Table_1,2023,Costa Rica,CRI,Costa Rica,0.833,0.806,-0.027,0.806,0.833,5129909,un_wpp_owid_2024,5354149,un_wpp_owid_2050,0.7921,-0.0409,0.7921,-0.0409,0.8759,0.0429,0.8095,0.8759,0.8948,0.8948,0.8095,True,False,80.799,23417.2132,16.3496,8.8448,0.8941,0.7086,0.7843,0.964919,0.806216,0.863817,0.8759,2.9e-07,80.799,23417.2132,16.3496,8.8448,1.01,1.134,0.9173,34.0,42.0,8.0,19.3214,12.0009,68.5,62.1,-6.4,12.1786,25.8991,13.7206,0.1933,0.4171,0.6103,0.8565,0.55,0.1,0.0,0.6318,0.0,0.6318,0.9167,0.6644,0.3335,0.3205,0.9487,-0.0027,0.3302,0.5301,0.0027,0.0,0.12,0.22,0.6,0.0126,0.1912,0.347,0.7363,0.2637,1.08,1.08,0.96,0.38,25.0,0.3,2.3,0.55,0.0,0.0,1.5,6.0,0.2,0.0047,0.0087,0.002,0.0189,0.0059,0.009,0.0,-0.0011,-0.003,-0.0023,0.3375,0.2638,0.2069,0.3513,0.427,0.2184,0.4283,0.3078,0.3935,0.3677,fast_converger,42,112
59,66,7,+7,54.16,rapid_industrializer,False,0.33,25,3,Cluster 25,scenario_projection,UNDP_HDR_2025_Table_1,2023,Bahamas,BHS,Bahamas,0.82,0.812,-0.008,0.812,0.82,401282,un_wpp_owid_2024,424272,un_wpp_owid_2050,0.7836,-0.0364,0.7836,-0.0364,0.8748,0.0548,0.7966,0.8748,0.8939,0.8939,0.7966,True,True,74.552,30974.6807,11.8914,12.8144,0.8022,0.7274,0.8245,0.885518,0.834617,0.905819,0.8748,-1.9e-07,74.552,30974.6807,11.8914,12.8144,0.9,1.0302,0.9947,32.5,35.0,2.5,23.3268,21.3239,65.0,63.0,-2.0,11.6732,15.6761,4.0029,0.3385,0.2488,0.5873,0.9595,0.5909,0.375,0.0,0.1671,0.0,0.1671,0.9167,0.7171,0.5897,0.1368,1.0516,0.0032,0.3265,0.4822,0.0028,0.0,0.12,0.22,0.6,0.0126,0.1984,0.3565,0.7459,0.2541,1.0,1.0,1.0,0.38,25.0,0.3,2.3,0.55,0.0,0.0,1.5,6.0,0.2,0.0036,0.0083,0.0041,0.019,0.0172,0.0086,0.0,-0.0011,-0.003,-0.0018,0.2902,0.2749,0.2069,0.3691,0.4506,0.2229,0.4461,0.2867,0.3866,0.3314,moderate,43,122
60,48,-12,-12,25.1,stable_or_slow,False,0.33,26,3,Cluster 26,scenario_projection,UNDP_HDR_2025_Table_1,2023,Montenegro,MNE,Montenegro,0.862,0.832,-0.03,0.832,0.862,638481,un_wpp_owid_2024,533299,un_wpp_owid_2050,0.8265,-0.0355,0.8265,-0.0355,0.8734,0.0114,0.8357,0.8734,0.8928,0.8928,0.8357,True,False,77.087,28026.3304,15.5365,12.7739,0.8395,0.8301,0.8101,0.885293,0.879293,0.855893,0.8734,3.7e-07,77.087,28026.3304,15.5365,12.7739,0.96,1.1025,0.8518,39.5,45.5,6.0,14.783,8.7917,63.5,58.7,-4.8,21.717,32.5083,10.7914,0.1498,0.5538,0.7036,0.7346,0.3955,0.2,0.0,0.9322,0.0,0.9322,0.9167,0.6543,0.1618,0.4953,0.8744,-0.0052,0.3319,0.5152,0.0022,0.0,0.12,0.22,0.6,0.0126,0.0962,0.3269,0.7156,0.2844,1.08,1.08,0.96,0.38,25.0,0.3,2.3,0.55,0.0,0.0,1.5,6.0,0.2,0.0015,0.0019,0.0012,0.0066,-0.0006,0.0034,0.0,-0.0004,-0.0011,-0.001,0.3178,0.2709,0.2069,0.3627,0.4421,0.2213,0.4398,0.301,0.3993,0.3576,fast_converger,45,87
61,51,-10,-10,31.82,emerging_mover,False,0.39,26,3,Cluster 26,scenario_projection,UNDP_HDR_2025_Table_1,2023,Türkiye,TUR,Turkey,0.853,0.838,-0.015,0.838,0.853,87473800,un_wpp_owid_2024,91258068,un_wpp_owid_2050,0.8088,-0.0442,0.8088,-0.0442,0.8737,0.0207,0.8267,0.8737,0.8931,0.8931,0.8267,True,True,77.156,34506.9806,19.8308,8.9862,0.8405,0.7494,0.84,0.903387,0.819488,0.900887,0.8737,-1.7e-07,77.156,34506.9806,19.8308,8.9862,0.95,1.134,0.9181,32.2,40.5,8.3,21.9914,14.4249,67.5,60.86,-6.64,10.5086,24.7151,14.2066,0.237,0.4061,0.6431,0.8534,0.4936,0.085,0.0,0.578,0.0,0.578,0.9829,0.6836,0.3308,0.3246,0.9504,-0.0023,0.3902,0.5503,0.0024,0.0,0.2,0.65,0.62,0.0654,0.1538,0.3262,0.6322,0.3678,1.08,1.08,0.96,0.3813,19.94,0.2695,2.1409,0.6366,-0.0682,0.154,1.6359,7.3341,0.0579,0.0016,0.0041,0.0019,0.0085,0.0034,0.0053,0.0,-0.0006,-0.0014,-0.002,0.4543,0.3282,0.2682,0.3342,0.4959,0.2695,0.4638,0.3475,0.4262,0.5137,fast_converger,45,98
62,113,51,+51,85.94,rapid_industrializer,True,0.4,26,3,Cluster 26,scenario_projection,UNDP_HDR_2025_Table_1,2023,Indonesia,IDN,Indonesia,0.728,0.713,-0.015,0.713,0.728,283487933,un_wpp_owid_2024,320712943,un_wpp_owid_2050,0.6963,-0.0317,0.6963,-0.0317,0.8724,0.1444,0.7006,0.8724,0.898,0.898,0.7006,True,True,71.146,13700.1299,13.3358,8.6972,0.7521,0.6346,0.7072,0.912523,0.836321,0.870022,0.8724,6e-08,71.146,13700.1299,13.3358,8.6972,0.98,1.1025,0.9715,29.7,37.0,7.3,23.7686,18.67,68.5,62.66,-5.84,7.7314,18.67,10.9386,0.298,0.298,0.5959,0.9472,0.5755,0.135,0.0,0.3032,0.0,0.3032,0.9237,0.662,0.4807,0.1919,1.0067,0.0009,0.3951,0.6058,0.0052,0.16,0.12,0.22,0.6,0.0132,0.5202,0.4154,0.789,0.211,1.22,1.22,0.96,0.4078,17.4616,0.1302,2.2832,0.5607,-0.4483,-0.0982,2.1583,6.6455,0.1354,0.0163,0.0265,0.015,0.0423,0.031,0.0241,0.0039,-0.0065,-0.0032,-0.0051,0.4397,0.3295,0.2734,0.4001,0.4061,0.3076,0.4889,0.3576,0.4572,0.4911,frontier_jumper,41,151
63,60,-3,-3,44.96,fast_converger,False,0.37,27,2,Cluster 27,scenario_projection,UNDP_HDR_2025_Table_1,2023,Brunei Darussalam,BRN,Brunei,0.837,0.823,-0.014,0.823,0.837,462734,un_wpp_owid_2024,519557,un_wpp_owid_2050,0.8017,-0.0353,0.8017,-0.0353,0.8709,0.0339,0.8124,0.8709,0.8907,0.8907,0.8124,True,True,75.327,75826.8734,13.6986,9.282,0.8136,0.6645,0.9532,0.877803,0.752502,1.0,0.8709,-1e-07,75.327,75826.8734,13.6986,9.282,0.9,1.0908,0.9678,31.2,39.0,7.8,20.9263,15.1423,70.5,64.26,-6.24,8.5737,20.5977,12.024,0.2356,0.3205,0.5562,0.9466,0.6482,0.11,0.0,0.3908,0.0,0.3908,0.9167,0.6893,0.4794,0.1951,1.0102,0.0003,0.3721,0.4893,0.0025,0.0,0.86,0.58,0.35,0.2959,0.1685,0.2838,0.6444,0.3556,1.0,1.0,1.0,0.38,25.0,0.3,2.3,0.55,0.0,0.0,1.5,6.0,0.2,0.0,0.008,0.003,0.0118,0.0097,0.0072,0.0,-0.0009,-0.0024,-0.0026,0.3296,0.3106,0.2069,0.4261,0.5261,0.2371,0.5032,0.3402,0.4526,0.3886,moderate,47,110
64,78,14,+14,56.9,rapid_industrializer,True,0.44,27,2,Cluster 27,scenario_projection,UNDP_HDR_2025_Table_1,2023,China,CHN,China,0.797,0.788,-0.009,0.788,0.797,1419321284,un_wpp_owid_2024,1260289089,un_wpp_owid_2050,0.7573,-0.0397,0.7573,-0.0397,0.8717,0.0747,0.7729,0.8717,0.8913,0.8913,0.7729,True,True,77.953,22029.2225,15.4787,8.0362,0.8522,0.6572,0.7755,0.95124,0.792233,0.878937,0.8717,-2.4e-07,77.953,22029.2225,15.4787,8.0362,1.05,1.134,0.8426,39.0,50.0,11.0,13.134,4.7443,69.0,60.2,-8.8,17.866,35.0557,17.1897,0.0788,0.5823,0.6611,0.7256,0.4636,0.0,0.0,1.0,0.0,1.0,0.9978,0.5974,0.1153,0.4894,0.8552,-0.0089,0.4388,0.596,0.0037,0.16,0.12,0.22,0.6,0.0131,0.4769,0.4152,0.7878,0.2122,1.188,1.188,0.8832,0.3361,8.8475,0.159,2.1054,0.6264,-0.225,0.118,2.2267,6.7838,0.1322,0.0087,0.0179,0.0066,0.0342,-0.0063,0.0183,0.0028,-0.0,-0.0028,-0.0048,0.4746,0.4056,0.3842,0.3349,0.5396,0.431,0.5521,0.3355,0.4071,0.5237,fast_converger,47,130
65,55,-10,-10,40.35,emerging_mover,False,0.39,28,1,Cluster 28,scenario_projection,UNDP_HDR_2025_Table_1,2023,Romania,ROU,Romania,0.845,0.828,-0.017,0.828,0.845,19015096,un_wpp_owid_2024,16027269,un_wpp_owid_2050,0.8095,-0.0355,0.8095,-0.0355,0.8695,0.0245,0.8215,0.8695,0.8894,0.8894,0.8215,True,True,75.938,39374.2537,14.0529,11.55,0.8226,0.7507,0.859,0.881078,0.816672,0.913581,0.8695,2.2e-07,75.938,39374.2537,14.0529,11.55,1.05,1.1025,0.8262,43.2,49.0,5.8,10.2901,5.6766,63.0,58.36,-4.64,26.7099,35.9634,9.2536,0.0973,0.6162,0.7135,0.6903,0.38,0.21,0.0,1.0,0.0,1.0,0.9628,0.6076,0.1156,0.5268,0.8501,-0.0067,0.3873,0.5362,0.0025,0.0,0.12,0.22,0.6,0.0125,0.2874,0.3871,0.7856,0.2144,1.0,1.0,1.0,0.3934,14.2114,0.2785,2.1893,0.6015,0.0696,-0.3354,2.1787,5.9477,0.1785,0.0019,0.0053,0.0031,0.0149,-0.0028,0.0069,0.0,-0.0013,-0.002,-0.0016,0.4257,0.3375,0.2862,0.3567,0.4854,0.289,0.4509,0.3301,0.4213,0.4898,moderate,48,101
66,47,-19,-19,26.14,stable_or_slow,False,0.39,29,2,Cluster 29,scenario_projection,UNDP_HDR_2025_Table_1,2023,Argentina,ARG,Argentina,0.865,0.842,-0.023,0.842,0.865,45696153,un_wpp_owid_2024,48308945,un_wpp_owid_2050,0.826,-0.039,0.826,-0.039,0.8641,-0.0009,0.8257,0.8641,0.885,0.885,0.8257,True,True,77.395,25876.0531,18.8312,11.1846,0.844,0.8361,0.7987,0.882952,0.874651,0.835449,0.8641,-1.2e-07,77.395,25876.0531,18.8312,11.1846,0.9,1.134,0.9026,31.7,40.0,8.3,23.9173,15.9056,65.5,58.86,-6.64,10.5827,25.2344,14.6517,0.2702,0.4287,0.6989,0.8204,0.4027,0.085,0.0,0.6016,0.0,0.6016,0.8754,0.6776,0.2798,0.373,0.9284,-0.0028,0.3854,0.5321,0.0021,0.0,0.35,0.78,0.55,0.1462,0.0888,0.3081,0.5626,0.4374,0.9244,0.928,1.063,0.3992,16.3682,0.1381,2.3991,0.6765,-0.2182,-0.1059,1.8288,6.66,0.1182,0.0001,0.0001,0.0001,0.0003,0.0001,0.0002,0.0,-0.0,-0.0,-0.0001,0.4421,0.3173,0.2616,0.3485,0.5014,0.2652,0.4743,0.3378,0.4126,0.4931,moderate,51,99
67,55,-12,-12,38.0,emerging_mover,False,0.37,29,2,Cluster 29,scenario_projection,UNDP_HDR_2025_Table_1,2023,Bulgaria,BGR,Bulgaria,0.845,0.795,-0.05,0.795,0.845,6757686,un_wpp_owid_2024,5402218,un_wpp_owid_2050,0.8093,-0.0357,0.8093,-0.0357,0.8628,0.0178,0.8218,0.8628,0.8837,0.8837,0.8218,True,False,75.636,32174.93,15.3166,11.4545,0.8182,0.7805,0.83,0.870906,0.837106,0.881006,0.8628,1.3e-07,75.636,32174.93,15.3166,11.4545,1.05,1.1025,0.8016,45.4,51.0,5.6,8.2953,4.4687,61.5,57.02,-4.48,30.2047,38.5113,8.3066,0.0784,0.6754,0.7538,0.6429,0.3191,0.22,0.0,1.0,0.0,1.0,0.9878,0.5988,0.082,0.5556,0.8355,-0.0072,0.3657,0.5498,0.0026,0.0,0.12,0.22,0.6,0.0125,0.1948,0.4034,0.7841,0.2159,1.0,1.0,1.0,0.3839,10.9864,0.2664,2.1292,0.7295,-0.0589,0.0937,1.9709,5.7224,0.1425,0.0019,0.0035,0.0023,0.0109,-0.0027,0.0053,0.0,-0.0007,-0.0014,-0.0014,0.4354,0.2784,0.2479,0.3337,0.4701,0.2431,0.4653,0.3126,0.3975,0.4734,moderate,51,100
