Rank,UNDP_Rank_2023,RankChange_2023_to_2050,RankChangeDisplay,DevelopmentMomentumScore,DevelopmentMomentumTier,IndustrializingMover,IndustrializationSignal,RankCluster,RankClusterSize,RankClusterLabel,ProjectionType,BaselineSource,BaselineDataYear,UNDP_Country,ISO3,Country,HDI_Baseline,HDI_2024_Local_Estimate,HDI_2024_vs_UNDP_HDR2025,HDI_2024,UNDP_HDI_2023,Population_2024,Population_2024_Source,Population_2050,Population_2050_Source,HDI_Baseline_Recomputed_From_Components,HDI_Baseline_Component_Mismatch,HDI_2024_Recomputed_From_Components,HDI_2024_Component_Mismatch,HDI_2050,HDI_2050_Gain,HDI_P10,HDI_P50,HDI_P90,HDI_Optimistic,HDI_Pessimistic,Interval_Contains_Baseline_HDI,Interval_Contains_2024_HDI,LifeExp_Baseline,GNI_PPP_Baseline,ExpSchool_Baseline,MeanSchool_Baseline,HealthIndex_2025,EducationIndex_2025,IncomeIndex_2025,HealthIndex_2050,EducationIndex_2050,IncomeIndex_2050,HDI_2050_Recomputed_From_Indices,HDI_2050_Index_Mismatch,LifeExp_2024,GNI_PPP_2024,ExpSchool_2024,MeanSchool_2024,InstEfficiency,TechFactor,DemoFactor,SubReplacementDepth,MigrationBufferIntensity,MedianAge_2024,MedianAge_2050,MedianAgeShift_2024_to_2050,Youth014Pct_2024,Youth014Pct_2050,WorkingAgePct_2024,WorkingAgePct_2050,WorkforceChangePP_2024_to_2050,Elderly65PlusPct_2024,Elderly65PlusPct_2050,Elderly65PlusChangePP_2024_to_2050,ChildDependencyRatio,OldAgeDependencyRatio,TotalDependencyRatio,AgePyramidScore,WorkforceDepth,WorkforceMomentum,YouthDependencyPressure,AgingPressure,DevelopedDemographicAdaptation,AdaptedAgingPressure,FertilityWindow,HumanCapitalAbsorption,DemographicDividend,DependencyPressure,DemographicHDIMultiplier,DemographicHDIAdjustment,FutureReadiness,DigitalInfraDevelopment,DigitalInfraHDIAdjustment,RecoveryPotential2050,ResourceDependence,GrowthVolatility,EconomicDiversification,ResourceDrag,IndustrializationHDIAcceleration,DevelopingCatchupReadiness,GrowthProspectScore,LowGrowthProspectDrag,TrajectoryHDISpeedMultiplier,TrajectoryHDICapMultiplier,TrajectoryHDIShockMultiplier,Gini_2024,InfantMortality_2024,ClimateRisk_2024,Fertility_2024,Urbanization_2024,PoliticalStability_2024,RuleOfLaw_2024,Physicians_2024,HealthExp_2024,RenewableShare_2024,Contrib_Income,Contrib_Education,Contrib_Health,Contrib_Governance,Contrib_Demographics,Contrib_Technology,Contrib_Recovery,Contrib_Inequality,Contrib_Climate,Contrib_ShockRisk,ai_adoption_index,robot_density,semiconductor_production,green_energy_investment,ev_adoption,battery_capacity,high_speed_rail,startup_ecosystem,venture_capital,cloud_adoption,Trajectory,Rank_Best_P90,Rank_Worst_P10
49,48,-1,-1,33.14,emerging_mover,False,0.4,23,4,Cluster 23,scenario_projection,UNDP_HDR_2025_Table_1,2023,Uruguay,URY,Uruguay,0.862,0.83,-0.032,0.83,0.862,3386583,un_wpp_owid_2024,3254355,un_wpp_owid_2050,0.8224,-0.0396,0.8224,-0.0396,0.8861,0.0241,0.8401,0.8861,0.9034,0.9034,0.8401,True,False,78.138,28649.822,17.484,10.54,0.855,0.7999,0.8133,0.915442,0.86844,0.87514,0.8861,-2e-08,78.138,28649.822,17.484,10.54,1.06,1.134,0.9018,0.5,0.5,35.8,44.5,8.7,18.2918,8.9824,66.5,62.54,-3.96,15.2082,28.4776,13.2693,0.1436,0.4553,0.599,0.8328,0.57,0.2525,0.0,0.749,0.0,0.749,0.9421,0.7099,0.3326,0.3546,0.9496,-0.0024,0.4015,0.5591,0.0024,0.0,0.12,0.22,0.6,0.0124,0.1072,0.4055,0.8124,0.1876,1.0,1.0,1.0,0.3955,21.4097,0.1807,1.9611,0.7672,0.1603,-0.1763,2.2396,4.7715,0.0899,0.0022,0.0032,0.0017,0.0113,0.0028,0.0057,0.0,-0.0011,-0.001,-0.0008,0.4587,0.3367,0.2865,0.3401,0.512,0.2843,0.4945,0.3525,0.434,0.5157,moderate,40,87
50,50,0,0,36.25,emerging_mover,False,0.36,23,4,Cluster 23,scenario_projection,UNDP_HDR_2025_Table_1,2023,Oman,OMN,Oman,0.858,0.816,-0.042,0.816,0.858,5281542,un_wpp_owid_2024,7826998,un_wpp_owid_2050,0.8226,-0.0354,0.8226,-0.0354,0.8863,0.0283,0.834,0.8863,0.9037,0.9037,0.834,True,False,80.031,36096.0412,13.4393,11.89,0.8828,0.7449,0.8465,0.939433,0.819228,0.904631,0.8863,-1.2e-07,80.031,36096.0412,13.4393,11.89,1.02,1.134,1.0132,0.0,0.0,30.6,37.0,6.4,20.3846,16.56,72.0,66.88,-5.12,7.6154,16.56,8.9446,0.2476,0.2476,0.4952,0.9881,0.7673,0.18,0.0,0.2073,0.0,0.2073,0.9167,0.7708,0.625,0.0855,1.078,0.0028,0.3576,0.5892,0.0026,0.0,0.72,0.55,0.5,0.2079,0.0906,0.2965,0.6668,0.3332,1.0,1.0,1.0,0.38,25.0,0.3,2.3,0.55,0.0,0.0,1.5,6.0,0.2,0.0016,0.0041,0.0012,0.0102,0.0099,0.0051,0.0,-0.0006,-0.0016,-0.0016,0.369,0.281,0.2069,0.3789,0.4635,0.2253,0.4559,0.3417,0.4406,0.413,moderate,39,91
51,60,9,+9,54.69,rapid_industrializer,True,0.42,23,4,Cluster 23,scenario_projection,UNDP_HDR_2025_Table_1,2023,Kazakhstan,KAZ,Kazakhstan,0.837,0.811,-0.026,0.811,0.837,20592574,un_wpp_owid_2024,26544266,un_wpp_owid_2050,0.8017,-0.0353,0.8017,-0.0353,0.8857,0.0487,0.8118,0.8857,0.9032,0.9032,0.8118,True,False,74.402,30988.5284,14.0086,12.5472,0.8,0.7812,0.8246,0.881603,0.874703,0.901003,0.8857,-1e-08,74.402,30988.5284,14.0086,12.5472,1.0,1.134,0.9613,0.0,0.0,30.8,37.5,6.7,23.4614,18.2023,67.5,62.14,-5.36,9.0386,19.6577,10.6191,0.2929,0.3163,0.6093,0.9288,0.5518,0.165,0.0,0.3481,0.0,0.3481,0.8732,0.7132,0.468,0.2176,1.0073,0.0004,0.421,0.5923,0.003,0.0,0.58,0.58,0.5,0.1804,0.1877,0.3444,0.7127,0.2873,1.08,1.08,0.96,0.3841,23.5449,0.1883,2.4043,0.6631,-0.2695,-0.1777,2.1301,5.9683,0.1165,0.0034,0.0064,0.0044,0.0177,0.0121,0.0104,0.0,-0.0013,-0.0018,-0.0025,0.4665,0.3627,0.3045,0.3817,0.5289,0.3052,0.5023,0.3749,0.4611,0.522,fast_converger,40,111
52,66,14,+14,61.75,rapid_industrializer,False,0.33,23,4,Cluster 23,scenario_projection,UNDP_HDR_2025_Table_1,2023,Bahamas,BHS,Bahamas,0.82,0.812,-0.008,0.812,0.82,401282,un_wpp_owid_2024,424272,un_wpp_owid_2050,0.7836,-0.0364,0.7836,-0.0364,0.8849,0.0649,0.7966,0.8849,0.9025,0.9025,0.7966,True,True,74.552,30974.6807,11.8914,12.8144,0.8022,0.7274,0.8245,0.894309,0.847614,0.914107,0.8849,1.2e-07,74.552,30974.6807,11.8914,12.8144,0.9,1.0302,1.039,0.8333,0.8333,32.5,35.0,2.5,23.3268,18.4423,65.0,68.0,3.0,11.6732,13.5577,1.8845,0.2712,0.1994,0.4706,0.973,0.8182,0.6875,0.0,0.0708,0.0,0.0708,0.9167,0.7799,0.7806,0.0255,1.1275,0.0074,0.3265,0.4822,0.0028,0.0,0.12,0.22,0.6,0.0126,0.1984,0.3565,0.7459,0.2541,1.0,1.0,1.0,0.38,25.0,0.3,2.3,0.55,0.0,0.0,1.5,6.0,0.2,0.0038,0.0088,0.0043,0.0201,0.0252,0.0091,0.0,-0.0012,-0.0032,-0.002,0.2902,0.2749,0.2069,0.3691,0.4506,0.2229,0.4461,0.2867,0.3866,0.3314,moderate,41,122
53,54,1,+1,45.89,fast_converger,False,0.32,24,4,Cluster 24,scenario_projection,UNDP_HDR_2025_Table_1,2023,Seychelles,SYC,Seychelles,0.848,0.785,-0.063,0.785,0.848,130436,un_wpp_owid_2024,141756,un_wpp_owid_2050,0.8096,-0.0384,0.8096,-0.0384,0.8833,0.0353,0.8246,0.8833,0.9011,0.9011,0.8246,True,False,72.862,29195.0379,18.2249,11.2,0.7774,0.8367,0.816,0.850423,0.914525,0.886124,0.8833,2.6e-07,72.862,29195.0379,18.2249,11.2,0.9,1.0302,0.9331,0.0,0.0,38.4,43.0,4.6,14.2836,10.1449,68.0,64.32,-3.68,17.7164,25.5351,7.8186,0.1577,0.397,0.5547,0.8907,0.6509,0.27,0.0,0.6152,0.0,0.6152,0.9167,0.7563,0.434,0.2749,0.9957,-0.0008,0.3242,0.483,0.0023,0.0,0.12,0.22,0.6,0.0126,0.1813,0.3422,0.7347,0.2653,1.0,1.0,1.0,0.38,25.0,0.3,2.3,0.55,0.0,0.0,1.5,6.0,0.2,0.0031,0.0041,0.0038,0.0143,0.008,0.0071,0.0,-0.0009,-0.0025,-0.0017,0.2902,0.2726,0.2069,0.3653,0.4456,0.2219,0.4424,0.2848,0.3827,0.3296,moderate,41,101
54,59,5,+5,49.03,fast_converger,False,0.35,24,4,Cluster 24,scenario_projection,UNDP_HDR_2025_Table_1,2023,Panama,PAN,Panama,0.839,0.805,-0.034,0.805,0.839,4515576,un_wpp_owid_2024,5630682,un_wpp_owid_2050,0.8045,-0.0345,0.8045,-0.0345,0.8825,0.0435,0.8143,0.8825,0.9005,0.9005,0.8143,True,False,79.594,34384.5681,13.3116,10.8338,0.8764,0.7076,0.8395,0.942179,0.803582,0.90778,0.8825,6e-08,79.594,34384.5681,13.3116,10.8338,1.0,1.134,0.9433,0.0,0.0,30.2,38.5,8.3,23.6811,17.1006,68.0,61.36,-6.64,8.3189,21.5394,13.2205,0.2787,0.351,0.6297,0.8967,0.5164,0.085,0.0,0.4336,0.0,0.4336,0.9167,0.6691,0.3952,0.263,0.9746,-0.0011,0.3451,0.5221,0.0026,0.0,0.12,0.22,0.6,0.013,0.1855,0.3318,0.7163,0.2837,1.08,1.08,0.96,0.38,25.0,0.3,2.3,0.55,0.0,0.0,1.5,6.0,0.2,0.003,0.0086,0.0023,0.0177,0.009,0.0089,0.0,-0.0011,-0.0029,-0.0022,0.3375,0.2791,0.2069,0.3758,0.4594,0.2245,0.4528,0.3201,0.4164,0.3785,fast_converger,41,107
55,62,7,+7,51.77,fast_converger,False,0.33,24,4,Cluster 24,scenario_projection,UNDP_HDR_2025_Table_1,2023,Costa Rica,CRI,Costa Rica,0.833,0.806,-0.027,0.806,0.833,5129909,un_wpp_owid_2024,5354149,un_wpp_owid_2050,0.7921,-0.0409,0.7921,-0.0409,0.8826,0.0496,0.8095,0.8826,0.9005,0.9005,0.8095,True,False,80.799,23417.2132,16.3496,8.8448,0.8941,0.7086,0.7843,0.969125,0.815421,0.870022,0.8826,1e-07,80.799,23417.2132,16.3496,8.8448,1.01,1.134,0.9498,0.5,0.5,34.0,42.0,8.0,19.3214,11.0509,68.5,65.1,-3.4,12.1786,23.8491,11.6705,0.1698,0.3663,0.5361,0.9206,0.6864,0.2875,0.0,0.5386,0.0,0.5386,0.9167,0.7106,0.4741,0.234,1.0054,-0.0002,0.3302,0.5301,0.0028,0.0,0.12,0.22,0.6,0.0126,0.1912,0.347,0.7363,0.2637,1.08,1.08,0.96,0.38,25.0,0.3,2.3,0.55,0.0,0.0,1.5,6.0,0.2,0.0048,0.009,0.0021,0.0196,0.0113,0.0093,0.0,-0.0011,-0.0031,-0.0024,0.3375,0.2638,0.2069,0.3513,0.427,0.2184,0.4283,0.3078,0.3935,0.3677,fast_converger,41,113
56,69,13,+13,63.44,rapid_industrializer,False,0.3,24,4,Cluster 24,scenario_projection,UNDP_HDR_2025_Table_1,2023,Barbados,BRB,Barbados,0.811,0.81,-0.001,0.81,0.811,282476,un_wpp_owid_2024,264225,un_wpp_owid_2050,0.7739,-0.0371,0.7739,-0.0371,0.8843,0.0733,0.7879,0.8843,0.9019,0.9019,0.7879,True,True,76.178,17327.5205,16.628,9.9284,0.8261,0.7571,0.741,0.922135,0.880133,0.852032,0.8843,-1.1e-07,76.178,17327.5205,16.628,9.9284,0.9,1.0302,1.0559,0.3333,0.3333,39.5,35.0,-4.5,14.1755,16.9439,65.0,70.6,5.6,20.8245,12.4561,-8.3684,0.24,0.1764,0.4164,0.9379,0.9364,0.85,0.0,0.0207,0.0,0.0207,0.9167,0.8222,0.8726,0.0075,1.1596,0.0102,0.3035,0.4902,0.0031,0.0,0.12,0.22,0.6,0.0125,0.2,0.3612,0.7504,0.2496,1.0,1.0,1.0,0.38,25.0,0.3,2.3,0.55,0.0,0.0,1.5,6.0,0.2,0.0067,0.0083,0.004,0.0215,0.03,0.0094,0.0,-0.0013,-0.0034,-0.002,0.2902,0.2518,0.2069,0.3321,0.4015,0.2136,0.4091,0.2682,0.3487,0.3129,moderate,41,124
57,46,-11,-11,27.5,stable_or_slow,False,0.35,25,3,Cluster 25,scenario_projection,UNDP_HDR_2025_Table_1,2023,Hungary,HUN,Hungary,0.87,0.846,-0.024,0.846,0.87,9676135,un_wpp_owid_2024,8725349,un_wpp_owid_2050,0.8343,-0.0357,0.8343,-0.0357,0.8813,0.0113,0.8437,0.8813,0.8994,0.8994,0.8437,True,True,77.024,37236.0746,15.4694,12.3316,0.8386,0.8139,0.851,0.884308,0.863307,0.896608,0.8813,8e-08,77.024,37236.0746,15.4694,12.3316,1.05,1.1025,0.8704,0.5,0.5,43.6,49.0,5.4,9.7063,5.1558,63.5,62.18,-1.32,26.7937,32.6642,5.8705,0.0829,0.5253,0.6082,0.7798,0.5536,0.4175,0.0,0.9393,0.0,0.9393,0.9167,0.693,0.2763,0.4297,0.9198,-0.0034,0.3479,0.5289,0.0021,0.0,0.12,0.22,0.6,0.0122,0.0989,0.3414,0.75,0.25,1.0,1.0,1.0,0.38,25.0,0.3,2.3,0.55,0.0,0.0,1.5,6.0,0.2,0.0009,0.0017,0.001,0.0064,0.0005,0.0027,0.0,-0.0003,-0.0009,-0.0006,0.3256,0.2823,0.2069,0.3808,0.4661,0.2258,0.4579,0.3151,0.4355,0.3832,moderate,41,81
58,52,-6,-6,36.14,emerging_mover,False,0.38,25,3,Cluster 25,scenario_projection,UNDP_HDR_2025_Table_1,2023,Kuwait,KWT,Kuwait,0.852,0.831,-0.021,0.831,0.852,4934508,un_wpp_owid_2024,6367757,un_wpp_owid_2050,0.8058,-0.0462,0.8058,-0.0462,0.8811,0.0291,0.8277,0.8811,0.8993,0.8993,0.8277,True,True,80.405,56612.047,15.9042,7.566,0.8883,0.6464,0.9112,0.954692,0.735171,0.974594,0.8811,-1.5e-07,80.405,56612.047,15.9042,7.566,1.02,1.134,1.0295,0.3333,0.4,36.8,42.0,5.2,13.2,8.7901,74.0,72.24,-1.76,12.8,18.9699,6.1699,0.1217,0.2626,0.3843,0.9046,1.0,0.39,0.0,0.3168,0.0,0.3168,0.9167,0.769,0.6953,0.1141,1.0894,0.0036,0.379,0.5445,0.0025,0.0,0.92,0.58,0.4,0.3035,0.0897,0.2694,0.6311,0.3689,1.0,1.0,1.0,0.38,25.0,0.3,2.3,0.55,0.0,0.0,1.5,6.0,0.2,0.0006,0.0058,0.0012,0.0103,0.0103,0.0052,0.0,-0.0006,-0.0016,-0.002,0.3808,0.2989,0.2069,0.4075,0.5015,0.2325,0.4846,0.3635,0.4755,0.4381,moderate,41,97
59,78,19,+19,62.47,rapid_industrializer,True,0.44,25,3,Cluster 25,scenario_projection,UNDP_HDR_2025_Table_1,2023,China,CHN,China,0.797,0.788,-0.009,0.788,0.797,1419321284,un_wpp_owid_2024,1260289089,un_wpp_owid_2050,0.7573,-0.0397,0.7573,-0.0397,0.8801,0.0831,0.7729,0.8801,0.8984,0.8984,0.7729,True,True,77.953,22029.2225,15.4787,8.0362,0.8522,0.6572,0.7755,0.957712,0.80311,0.886311,0.8801,3e-08,77.953,22029.2225,15.4787,8.0362,1.05,1.134,0.8779,1.0,0.5,39.0,50.0,11.0,13.134,4.3867,69.0,63.2,-5.8,17.866,32.4133,14.5474,0.0694,0.5129,0.5823,0.7964,0.6,0.1375,0.0,0.9279,0.0,0.9279,0.9978,0.6469,0.2419,0.4071,0.9083,-0.0063,0.4388,0.596,0.0037,0.16,0.12,0.22,0.6,0.0131,0.4769,0.4152,0.7878,0.2122,1.188,1.188,0.8832,0.3361,8.8475,0.159,2.1054,0.6264,-0.225,0.118,2.2267,6.7838,0.1322,0.0088,0.018,0.0066,0.0345,0.0016,0.0185,0.0028,-0.0,-0.0028,-0.0049,0.4746,0.4056,0.3842,0.3349,0.5396,0.431,0.5521,0.3355,0.4071,0.5237,fast_converger,41,130
60,51,-9,-9,33.71,emerging_mover,False,0.39,26,2,Cluster 26,scenario_projection,UNDP_HDR_2025_Table_1,2023,Türkiye,TUR,Turkey,0.853,0.838,-0.015,0.838,0.853,87473800,un_wpp_owid_2024,91258068,un_wpp_owid_2050,0.8088,-0.0442,0.8088,-0.0442,0.8768,0.0238,0.8267,0.8768,0.8958,0.8958,0.8267,True,True,77.156,34506.9806,19.8308,8.9862,0.8405,0.7494,0.84,0.905978,0.82378,0.903178,0.8768,4.2e-07,77.156,34506.9806,19.8308,8.9862,0.95,1.134,0.9391,0.3333,0.3333,32.2,40.5,8.3,21.9914,13.6878,67.5,62.86,-4.64,10.5086,23.4522,12.9436,0.2178,0.3731,0.5908,0.8949,0.5845,0.21,0.0,0.5206,0.0,0.5206,0.9829,0.7142,0.4227,0.2666,0.9877,-0.0008,0.3902,0.5503,0.0024,0.0,0.2,0.65,0.62,0.0654,0.1538,0.3262,0.6322,0.3678,1.08,1.08,0.96,0.3813,19.94,0.2695,2.1409,0.6366,-0.0682,0.154,1.6359,7.3341,0.0579,0.0017,0.0043,0.002,0.009,0.0055,0.0056,0.0,-0.0007,-0.0015,-0.0021,0.4543,0.3282,0.2682,0.3342,0.4959,0.2695,0.4638,0.3475,0.4262,0.5137,fast_converger,46,99
61,57,-4,-4,43.15,fast_converger,False,0.36,26,2,Cluster 26,scenario_projection,UNDP_HDR_2025_Table_1,2023,Georgia,GEO,Georgia,0.844,0.802,-0.042,0.802,0.844,3807668,un_wpp_owid_2024,3664012,un_wpp_owid_2050,0.8084,-0.0356,0.8084,-0.0356,0.8771,0.0331,0.8191,0.8771,0.8959,0.8959,0.8191,True,False,74.496,20752.5701,16.7547,12.7,0.8014,0.8596,0.7669,0.870439,0.928442,0.834938,0.8771,1e-08,74.496,20752.5701,16.7547,12.7,0.98,1.1025,0.8639,0.1667,0.1667,38.7,45.0,6.3,15.877,9.1639,63.5,59.46,-4.04,20.623,31.3761,10.753,0.1541,0.5277,0.6818,0.7579,0.43,0.2475,0.0,0.8807,0.0,0.8807,0.9311,0.6853,0.2123,0.4612,0.8976,-0.0051,0.3632,0.5686,0.0027,0.0,0.12,0.22,0.6,0.013,0.187,0.3713,0.7465,0.2535,1.08,1.08,0.96,0.3617,11.8673,0.2352,1.9347,0.6928,-0.1955,0.3754,2.106,5.7767,0.1326,0.0046,0.0039,0.0044,0.0159,0.0004,0.0091,0.0,-0.0001,-0.0021,-0.0029,0.4171,0.2876,0.2395,0.3319,0.4811,0.2426,0.459,0.3073,0.3941,0.4721,fast_converger,46,102
62,48,-14,-14,25.96,stable_or_slow,False,0.33,27,2,Cluster 27,scenario_projection,UNDP_HDR_2025_Table_1,2023,Montenegro,MNE,Montenegro,0.862,0.832,-0.03,0.832,0.862,638481,un_wpp_owid_2024,533299,un_wpp_owid_2050,0.8265,-0.0355,0.8265,-0.0355,0.8749,0.0129,0.8372,0.8749,0.894,0.894,0.8372,True,False,77.087,28026.3304,15.5365,12.7739,0.8395,0.8301,0.8101,0.886593,0.881093,0.857293,0.8749,5e-08,77.087,28026.3304,15.5365,12.7739,0.96,1.1025,0.8629,0.1667,0.1667,39.5,45.5,6.0,14.783,8.5788,63.5,59.7,-3.8,21.717,31.7212,10.0042,0.1437,0.5313,0.675,0.7572,0.4409,0.2625,0.0,0.8964,0.0,0.8964,0.9167,0.6706,0.2107,0.462,0.8947,-0.0045,0.3319,0.5152,0.0022,0.0,0.12,0.22,0.6,0.0126,0.0962,0.3269,0.7156,0.2844,1.08,1.08,0.96,0.38,25.0,0.3,2.3,0.55,0.0,0.0,1.5,6.0,0.2,0.0016,0.0021,0.0013,0.0071,0.0,0.0036,0.0,-0.0004,-0.0012,-0.001,0.3178,0.2709,0.2069,0.3627,0.4421,0.2213,0.4398,0.301,0.3993,0.3576,fast_converger,48,90
63,60,-3,-3,45.93,fast_converger,False,0.37,27,2,Cluster 27,scenario_projection,UNDP_HDR_2025_Table_1,2023,Brunei Darussalam,BRN,Brunei,0.837,0.823,-0.014,0.823,0.837,462734,un_wpp_owid_2024,519557,un_wpp_owid_2050,0.8017,-0.0353,0.8017,-0.0353,0.873,0.036,0.8124,0.873,0.8924,0.8924,0.8124,True,True,75.327,75826.8734,13.6986,9.282,0.8136,0.6645,0.9532,0.879822,0.756219,1.0,0.873,-2.2e-07,75.327,75826.8734,13.6986,9.282,0.9,1.0908,0.9792,0.1667,0.1833,31.2,39.0,7.8,20.9263,14.6762,70.5,65.36,-5.14,8.5737,19.9638,11.3901,0.2245,0.3054,0.53,0.9688,0.6982,0.1788,0.0,0.362,0.0,0.362,0.9167,0.7056,0.5287,0.166,1.0299,0.0011,0.3721,0.4893,0.0025,0.0,0.86,0.58,0.35,0.2959,0.1685,0.2838,0.6444,0.3556,1.0,1.0,1.0,0.38,25.0,0.3,2.3,0.55,0.0,0.0,1.5,6.0,0.2,0.0,0.0082,0.0031,0.012,0.0113,0.0073,0.0,-0.0009,-0.0024,-0.0027,0.3296,0.3106,0.2069,0.4261,0.5261,0.2371,0.5032,0.3402,0.4526,0.3886,moderate,48,111
64,55,-9,-9,41.89,emerging_mover,False,0.39,28,2,Cluster 28,scenario_projection,UNDP_HDR_2025_Table_1,2023,Romania,ROU,Romania,0.845,0.828,-0.017,0.828,0.845,19015096,un_wpp_owid_2024,16027269,un_wpp_owid_2050,0.8095,-0.0355,0.8095,-0.0355,0.8723,0.0273,0.8215,0.8723,0.8918,0.8918,0.8215,True,True,75.938,39374.2537,14.0529,11.55,0.8226,0.7507,0.859,0.883706,0.820406,0.915506,0.8723,1.4e-07,75.938,39374.2537,14.0529,11.55,1.05,1.1025,0.8492,0.3333,0.3333,43.2,49.0,5.8,10.2901,5.4039,63.0,60.36,-2.64,26.7099,34.2361,7.5262,0.0895,0.5672,0.6567,0.7371,0.4709,0.335,0.0,1.0,0.0,1.0,0.9628,0.641,0.1896,0.4862,0.8805,-0.0057,0.3873,0.5362,0.0026,0.0,0.12,0.22,0.6,0.0125,0.2874,0.3871,0.7856,0.2144,1.0,1.0,1.0,0.3934,14.2114,0.2785,2.1893,0.6015,0.0696,-0.3354,2.1787,5.9477,0.1785,0.002,0.0056,0.0032,0.0155,-0.0012,0.0072,0.0,-0.0014,-0.0021,-0.0016,0.4257,0.3375,0.2862,0.3567,0.4854,0.289,0.4509,0.3301,0.4213,0.4898,moderate,48,101
65,113,48,+48,85.91,rapid_industrializer,True,0.4,28,2,Cluster 28,scenario_projection,UNDP_HDR_2025_Table_1,2023,Indonesia,IDN,Indonesia,0.728,0.713,-0.015,0.713,0.728,283487933,un_wpp_owid_2024,320712943,un_wpp_owid_2050,0.6963,-0.0317,0.6963,-0.0317,0.8724,0.1444,0.7006,0.8724,0.898,0.898,0.7006,True,True,71.146,13700.1299,13.3358,8.6972,0.7521,0.6346,0.7072,0.912523,0.836321,0.870022,0.8724,6e-08,71.146,13700.1299,13.3358,8.6972,0.98,1.1025,0.9715,0.0,0.0,29.7,37.0,7.3,23.7686,18.67,68.5,62.66,-5.84,7.7314,18.67,10.9386,0.298,0.298,0.5959,0.9472,0.5755,0.135,0.0,0.3032,0.0,0.3032,0.9237,0.662,0.4807,0.1919,1.0067,0.0009,0.3951,0.6058,0.0052,0.16,0.12,0.22,0.6,0.0132,0.5202,0.4154,0.789,0.211,1.22,1.22,0.96,0.4078,17.4616,0.1302,2.2832,0.5607,-0.4483,-0.0982,2.1583,6.6455,0.1354,0.0163,0.0265,0.015,0.0423,0.031,0.0241,0.0039,-0.0065,-0.0032,-0.0051,0.4397,0.3295,0.2734,0.4001,0.4061,0.3076,0.4889,0.3576,0.4572,0.4911,frontier_jumper,42,151
66,55,-11,-11,39.54,emerging_mover,False,0.37,29,2,Cluster 29,scenario_projection,UNDP_HDR_2025_Table_1,2023,Bulgaria,BGR,Bulgaria,0.845,0.795,-0.05,0.795,0.845,6757686,un_wpp_owid_2024,5402218,un_wpp_owid_2050,0.8093,-0.0357,0.8093,-0.0357,0.8655,0.0205,0.8218,0.8655,0.8861,0.8861,0.8218,True,False,75.636,32174.93,15.3166,11.4545,0.8182,0.7805,0.83,0.873461,0.840462,0.88316,0.8655,-1.5e-07,75.636,32174.93,15.3166,11.4545,1.05,1.1025,0.8247,0.3333,0.3333,45.4,51.0,5.6,8.2953,4.2608,61.5,59.02,-2.48,30.2047,36.7192,6.5145,0.0722,0.6221,0.6943,0.6905,0.41,0.345,0.0,1.0,0.0,1.0,0.9878,0.6328,0.1564,0.5131,0.8664,-0.0062,0.3657,0.5498,0.0026,0.0,0.12,0.22,0.6,0.0125,0.1948,0.4034,0.7841,0.2159,1.0,1.0,1.0,0.3839,10.9864,0.2664,2.1292,0.7295,-0.0589,0.0937,1.9709,5.7224,0.1425,0.002,0.0038,0.0025,0.0118,-0.0015,0.0057,0.0,-0.0008,-0.0015,-0.0015,0.4354,0.2784,0.2479,0.3337,0.4701,0.2431,0.4653,0.3126,0.3975,0.4734,moderate,50,101
67,103,36,+36,78.65,rapid_industrializer,False,0.31,29,2,Cluster 29,scenario_projection,UNDP_HDR_2025_Table_1,2023,Saint Lucia,LCA,Saint Lucia,0.748,0.72,-0.028,0.72,0.748,179751,un_wpp_owid_2024,172086,un_wpp_owid_2050,0.7161,-0.0319,0.7161,-0.0319,0.8669,0.1189,0.7241,0.8669,0.8873,0.8873,0.7241,True,False,72.697,20899.7819,12.7304,8.6142,0.775,0.6171,0.768,0.902097,0.802797,0.899597,0.8669,-2e-08,72.697,20899.7819,12.7304,8.6142,0.9,1.0302,1.0403,0.6667,0.6667,34.0,35.0,1.0,21.4683,18.327,65.0,68.2,3.2,13.5317,13.473,-0.0588,0.2687,0.1976,0.4663,0.9703,0.8273,0.7,0.0,0.067,0.0,0.067,0.9167,0.7291,0.7769,0.0241,1.1188,0.0099,0.3109,0.4876,0.004,0.16,0.12,0.22,0.6,0.0128,0.2344,0.3717,0.7518,0.2482,1.0,1.0,1.0,0.38,25.0,0.3,2.3,0.55,0.0,0.0,1.5,6.0,0.2,0.0091,0.0206,0.0082,0.033,0.0409,0.0149,0.0028,-0.002,-0.0053,-0.0034,0.2902,0.2593,0.2069,0.344,0.4174,0.2166,0.4211,0.2741,0.3609,0.3189,moderate,49,143
