Rank_Economic_Strength_2050,ISO3,Country,Population_2025,Population_2050,GDP_PPP_PerCapita_2025,GDP_PPP_PerCapita_2025_2021_IntlDollar,GDP_PPP_PerCapita_2050,GDP_PPP_PerCapita_2050_2021_IntlDollar,GDP_Nominal_PerCapita_2025,GDP_Nominal_PerCapita_2025_2021_USD,GDP_Nominal_PerCapita_2050,GDP_Nominal_PerCapita_2050_2021_USD,GDP_PPP_Total_2025,GDP_PPP_Total_2050,GDP_PPP_Total_2050_2021_IntlDollar,GDP_Nominal_Total_2025,GDP_Nominal_Total_2050,GDP_Nominal_Total_2050_2021_USD,GDP_PPP_PerCapita_P10_2050,GDP_PPP_PerCapita_P90_2050,GDP_Nominal_PerCapita_P10_2050,GDP_Nominal_PerCapita_P90_2050,Real_GDP_PerCapita_CAGR_2025_2050,Structural_GDP_PerCapita_CAGR_Signal,Income_Index_2050,Income_Index_2050_Recomputed_From_PPP,Income_Index_2050_PPP_Mismatch,CPI_U_2021_Annual_Average_2013_Base,CPI_U_2025_Annual_Average_2013_Base,Observed_Inflation_Factor_2021_2025,Long_Run_USD_Inflation_Assumption_2026_2050,Inflation_Factor_2021_to_2050,Inflation_Factor_Low_2021_to_2050,Inflation_Factor_High_2021_to_2050,PPP_to_Nominal_Ratio_2025,PPP_to_Nominal_Ratio_2050,Economic_Strength_Score_2050,Growth_Prospect_Score,Industrialization_Signal,Future_Readiness,Demographic_Dividend,Resource_Drag,Growth_Volatility,Trajectory,Baseline_Source,PPP_Baseline_Year,Nominal_Baseline_Year,PPP_Baseline_Proxy,Nominal_Baseline_Proxy,Projection_Type,Rank_GDP_PPP_PerCapita_2050,Rank_GDP_Nominal_PerCapita_2050,Rank_GDP_PPP_Total_2050,Rank_GDP_Nominal_Total_2050,Rank_Economic_Resilience_2050
11,CAN,Canada,39953881,45621880,67017.45,56369.89,141518.26,72555.02,56304.93,47359.35,117833.46,60412.06,2677607316980.15,6456328926299.77,3310096415837.6,2249600376449.74,5375783778617.84,2756111533511.83,107560.19,209966.5,80602.81,192308.66,0.010148,0.023434,0.946868,0.946868,-0.0,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.84015,0.83264,66.86,0.6941,0.55,0.5511,0.5174,0.024,0.25,slow_growth,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,27,20,20,11,3
12,RUS,Russia,144476249,136132783,48442.72,40746.27,103086.86,52851.62,15199.3,12784.48,32011.05,16411.75,6998822930532.84,14033501027453.21,7194838116658.46,2195938539819.8,4357753450401.96,2234177385002.97,71321.68,167772.65,19932.45,57307.37,0.010459,0.015867,0.90132,0.90132,-1e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.31376,0.31053,59.16,0.3921,0.39,0.3933,0.3036,0.2785,0.72,fast_converger,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,52,78,5,12,21
13,AUS,Australia,26915650,32506964,73711.29,62000.23,149904.9,76854.77,66037.51,55545.64,132113.68,67733.39,1983987217244.88,4872953211966.82,2498315241618.28,1777442467898.57,4294614796283.92,2201806817288.31,112954.35,224315.33,89593.7,217462.12,0.008628,0.022094,0.955144,0.955144,-0.0,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.89589,0.88132,65.11,0.6839,0.53,0.5349,0.4801,0.0383,0.3,slow_growth,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,23,12,26,13,6
14,ITA,Italy,59037393,51891098,63468.81,53385.05,124884.82,64027.22,41192.82,34648.21,81177.03,41618.67,3747033072751.72,6480410393859.2,3322442747687.56,2431916466374.74,4212365235213.81,2159638275318.06,93859.29,187351.86,54908.97,133959.71,0.007298,0.018877,0.928894,0.928894,1e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.64902,0.65002,61.06,0.6032,0.51,0.5125,0.2641,0.0122,0.22,moderate,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,32,31,19,14,14
15,BGD,Bangladesh,174988380,214709097,10004.94,8415.38,49808.66,25536.41,2685.81,2259.09,16073.57,8240.76,1750748572013.91,10694372126829.15,5482899531721.77,469984798109.95,3451140811526.48,1769365991291.23,38220.37,73204.83,11100.56,25986.02,0.045402,0.035625,0.796759,0.796759,3e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.26845,0.32271,57.04,0.7131,0.33,0.3284,0.3723,0.0137,0.22,accelerator,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,111,123,11,15,27
16,TUR,Turkey,87616404,91258068,46252.61,38904.11,104427.94,53539.18,16290.6,13702.39,37137.43,19040.0,4052487311259.42,9529892232049.85,4885882129104.24,1427323677317.26,3389090210448.04,1737553257681.33,75162.51,163483.56,24056.86,63953.15,0.012854,0.025036,0.903178,0.903178,0.0,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.35221,0.35563,59.67,0.6322,0.39,0.3902,0.4227,0.0654,0.65,fast_converger,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,51,71,15,16,19
17,ESP,Spain,47792263,44928562,59343.22,49914.92,116549.18,59753.62,36105.22,30368.92,71188.21,36497.5,2836146641752.4,5236387090494.55,2684644220894.44,1725550296628.84,3198384093499.13,1639780104950.61,88091.1,173873.54,48425.42,116822.11,0.007222,0.022036,0.918964,0.918964,1e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.60841,0.6108,60.18,0.7441,0.51,0.5084,0.3574,0.0119,0.22,moderate,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,38,36,24,17,17
18,KOR,South Korea,51447850,45143134,62433.24,52514.01,116400.9,59677.6,37058.9,31171.08,69116.81,35435.51,3212056140960.04,5254701607013.46,2694033893598.4,1906600710500.54,3120149433766.8,1599669963455.28,88629.12,172394.02,47363.77,112600.99,0.005128,0.022635,0.918781,0.918781,1e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.59358,0.59378,61.48,0.6772,0.56,0.5609,0.4588,0.0121,0.22,moderate,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,39,38,23,18,12
19,PHL,Philippines,116506669,134373432,12260.17,10312.31,57511.63,29485.65,4135.87,3478.78,22743.01,11660.12,1428391639074.91,7728035698696.26,3962087985250.8,481856701221.54,3056055657169.13,1566809713828.09,44166.25,84459.73,15719.01,36739.61,0.042918,0.037783,0.81743,0.81743,-2e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.33734,0.39545,57.53,0.7388,0.35,0.3479,0.4489,0.0138,0.22,accelerator,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,101,101,17,19,25
20,SAU,Saudi Arabia,34409186,47693912,73043.36,61438.42,132334.5,67846.6,36074.56,30343.13,63441.35,32525.76,2513362437208.39,6311550170315.09,3235869769899.2,1241296313653.13,3025766268273.41,1551280641693.43,94672.19,208411.75,40847.39,109904.18,0.003976,0.01539,0.937223,0.937223,-0.0,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.49388,0.4794,59.02,0.5627,0.39,0.3886,0.5466,0.2493,0.6,moderate,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,30,43,21,20,22
21,PAK,Pakistan,255086257,371863799,6453.07,5427.82,27637.82,14169.64,1524.33,1282.15,7636.28,3915.04,1646089953489.19,10277505604481.42,5269176160862.36,388836092640.32,2839654670127.42,1455863053618.04,20734.9,41534.75,5156.11,12623.57,0.039129,0.030318,0.71209,0.71209,4e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.23622,0.2763,53.07,0.6003,0.26,0.258,0.1302,0.0147,0.22,frontier_jumper,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,142,154,13,21,46
22,NLD,Netherlands,18256280,18958470,87128.68,73285.9,176994.11,90743.14,68977.67,58018.68,139483.38,71511.76,1590645662426.14,3355537470257.48,1720351097395.8,1259275685006.28,2644391458521.14,1355753523223.76,134676.97,262305.16,95521.14,227385.71,0.008583,0.022417,0.979023,0.979023,-0.0,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.79168,0.78807,60.65,0.6944,0.56,0.5554,0.456,0.0117,0.22,slow_growth,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,13,9,32,22,16
23,VNM,Vietnam,101320570,110008911,16979.1,14281.51,59869.16,30694.33,4886.81,4110.41,19470.14,9982.15,1720332507941.76,6586141051451.16,3376649817174.63,495134768046.59,2141888488573.85,1098125186942.02,45865.22,88133.24,13424.3,31528.13,0.031078,0.036075,0.823205,0.823205,1e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.28781,0.32521,55.68,0.7539,0.35,0.3484,0.391,0.0131,0.22,accelerator,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,97,111,18,23,35
24,CHE,Switzerland,8937801,9342590,99644.41,83813.17,202973.81,104062.68,110107.29,92613.73,221714.38,113670.78,890601900298.7,1896301115912.02,972214953541.2,984117000683.98,2071386540810.11,1061979530909.58,154594.58,300519.93,151981.47,360623.92,0.008694,0.022332,0.998711,0.998711,1e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,1.105,1.09233,59.66,0.6711,0.53,0.5344,0.4738,0.0117,0.22,slow_growth,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,8,2,44,24,20
25,ZAF,South Africa,64532949,79177332,15973.82,13435.94,52373.87,26851.57,6467.68,5440.11,22941.56,11761.91,1030837659436.77,4146823502103.87,2126035672611.24,417378388294.67,1816451855547.48,931277022163.0,40102.0,77139.64,15809.46,37168.81,0.028083,0.031991,0.803978,0.803978,-2e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.40489,0.43803,56.33,0.6744,0.39,0.388,0.4308,0.0145,0.22,moderate,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,106,100,28,25,32
26,ARE,UAE,11168798,15367397,81149.53,68256.7,185902.57,95310.42,51417.66,43248.56,118189.4,60594.54,906342703516.81,2856838554596.04,1464673062376.74,574273518900.55,1816263380289.6,931180392749.8,140865.72,276647.07,80601.1,193469.22,0.013444,0.022759,0.986082,0.986082,-0.0,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.63362,0.63576,60.74,0.6295,0.41,0.4146,0.784,0.0833,0.38,moderate,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,11,18,35,26,15
27,NGA,Nigeria,236597650,359185557,9305.96,7827.45,37800.94,19380.17,1108.71,932.56,5037.73,2582.8,2201767769826.65,13577551272154.2,6961077156204.69,262319089508.08,1809481268814.02,927703270821.32,26160.53,61503.11,3137.77,9016.18,0.03693,0.022647,0.757105,0.757105,2e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.11914,0.13327,49.37,0.4462,0.27,0.2662,0.3534,0.2979,0.72,frontier_jumper,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,125,167,6,27,62
28,MYS,Malaysia,35859264,44289762,40278.68,33879.31,121522.73,62303.51,12315.67,10358.99,40728.59,20881.15,1444363996835.88,5382212800090.85,2759407629664.62,441630740696.64,1803859643919.25,924821118962.61,93745.64,177670.1,28277.14,65501.15,0.024668,0.037159,0.924971,0.924971,1e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.30576,0.33515,56.84,0.7929,0.4,0.3963,0.5647,0.0128,0.22,frontier_jumper,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,34,65,22,28,28
29,POL,Poland,38301568,32814092,52341.89,44025.95,106806.16,54758.47,25632.15,21559.78,53080.36,27213.78,2004776592242.51,3504747224006.12,1796849472359.24,981751386240.37,1741783973642.77,892995532621.14,80946.9,158911.03,36205.98,86872.9,0.008764,0.021056,0.906415,0.906415,0.0,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.48971,0.49698,56.81,0.68,0.37,0.3662,0.3909,0.0121,0.22,moderate,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,47,54,31,29,29
30,EGY,Egypt,118013619,161630196,19678.58,16552.09,55614.84,28513.18,3435.67,2889.82,10634.13,5452.01,2322339993208.37,8989036818958.49,4608590871983.28,405455586322.46,1718796687676.9,881210176925.34,42200.4,82648.08,7262.24,17383.48,0.021992,0.029113,0.812609,0.812609,1e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.17459,0.19121,53.15,0.6169,0.31,0.3121,0.3432,0.0141,0.22,accelerator,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,103,143,16,30,45
31,THA,Thailand,71457155,66382731,25823.21,21720.49,76194.5,39064.17,7657.67,6441.04,24757.38,12692.86,1845253416684.89,5057998784527.38,2593186288848.27,547195455431.99,1643462320128.64,842586986741.35,57897.03,113074.91,16930.89,40414.76,0.023756,0.036693,0.857867,0.857867,0.0,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.29654,0.32492,55.88,0.8139,0.39,0.3891,0.3704,0.013,0.22,fast_converger,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,72,96,25,31,34
32,ISR,Israel,9507915,13092723,58652.05,49333.56,128664.41,65964.98,55517.26,46696.82,120386.61,61721.03,557658697089.05,1684567504255.57,863661210840.54,527853402131.58,1576188593661.83,808096408054.95,98949.66,188685.4,83325.24,194200.68,0.011689,0.023992,0.93318,0.93318,0.0,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.94655,0.93566,57.81,0.7187,0.53,0.5265,0.5442,0.0126,0.22,moderate,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,31,17,48,32,24
33,SWE,Sweden,10633192,11309632,72811.87,61243.71,169889.7,87100.78,58500.13,49205.78,136348.75,69904.67,774222631932.44,1921389981985.45,985077768712.96,622043129874.95,1542054215939.48,790596047920.67,129308.69,251704.18,93401.61,222211.86,0.014188,0.022324,0.973134,0.973134,1e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.80344,0.80257,57.94,0.6865,0.53,0.533,0.4279,0.0117,0.22,slow_growth,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,18,10,43,33,23
34,BEL,Belgium,11743816,11870903,75806.04,63762.17,162680.67,83404.78,57787.52,48606.39,123956.46,63551.26,890252164843.93,1931166421313.79,990090053116.34,678645969432.57,1471475067230.32,754410811721.92,123513.99,241616.62,84701.65,202512.9,0.0108,0.021307,0.966901,0.966901,-0.0,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.76231,0.76196,57.37,0.6723,0.49,0.4913,0.4043,0.0119,0.22,slow_growth,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,20,15,42,34,26
35,ARG,Argentina,45793982,48308945,31082.92,26144.54,65192.04,33423.32,14248.27,11984.54,29330.12,15037.27,1423410572164.84,3149358817587.18,1614645327597.4,652485145726.64,1416907394963.31,726434502204.0,45404.06,105410.91,18384.7,52167.21,0.009873,0.019935,0.835449,0.835449,0.0,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.4584,0.4499,54.74,0.5626,0.39,0.3854,0.2798,0.1462,0.78,moderate,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,85,84,33,35,38
36,ETH,Ethiopia,134794639,225021870,3369.89,2834.49,15661.25,8029.37,1160.6,976.21,6281.41,3220.42,454243307124.56,3524124189707.45,1806783852321.9,156442976437.43,1413453712073.62,724663832914.2,11636.92,23761.01,4200.6,10483.06,0.042529,0.023565,0.630441,0.630441,-4e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.3444,0.40108,46.64,0.439,0.16,0.1604,0.0129,0.0154,0.22,frontier_jumper,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,165,163,30,36,80
37,COL,Colombia,53122642,59385352,23075.95,19409.7,60972.89,31260.2,8176.64,6877.55,22629.25,11601.8,1225855165518.26,3620896335062.62,1856397980590.4,434364558765.27,1343846255898.57,688976773932.12,44819.36,93495.59,14970.68,38169.58,0.019246,0.028367,0.825831,0.825831,-1e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.35434,0.37114,54.56,0.6311,0.37,0.3663,0.3913,0.0723,0.48,fast_converger,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,94,102,29,37,39
38,IRN,Iran,91943723,101861995,20202.6,16992.87,44272.27,22697.96,5268.36,4431.34,11462.83,5876.88,1857502594295.05,4509662159831.05,2312059488030.2,484393072112.24,1167626660179.59,598630718325.56,30425.71,72527.38,7089.95,20656.4,0.011647,0.015066,0.779821,0.779821,-1e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.26078,0.25892,50.89,0.3926,0.3,0.3028,0.2918,0.3293,0.75,fast_converger,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,118,141,27,38,52
39,AUT,Austria,9105238,8724335,77484.42,65173.9,165937.04,85074.29,59583.84,50117.31,127463.82,65349.45,705514103622.69,1447690320735.99,742216605847.15,542525026437.56,1112037094832.62,570130494264.26,126344.88,245762.1,87346.15,207659.21,0.010716,0.022567,0.96975,0.96975,0.0,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.76898,0.76815,56.37,0.7088,0.54,0.5421,0.4565,0.0118,0.22,slow_growth,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,19,14,54,39,30
40,IRQ,Iraq,46838845,71928759,14607.65,12286.82,36526.5,18726.78,6124.9,5151.79,15073.34,7727.95,684205289988.25,2627306134554.14,1346994045466.02,286883196828.29,1084206721635.87,555862135321.96,24082.32,62317.46,8944.22,28288.1,0.017,0.008445,0.752175,0.752175,2e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.41929,0.41267,43.98,0.3486,0.29,0.2907,0.0647,0.518,0.78,conflict_recovery,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,126,127,37,40,93
41,DNK,Denmark,5983021,6124830,82712.53,69571.38,194678.9,99809.96,72583.89,61051.95,169298.57,86797.71,494870761646.72,1192375172178.45,611319037306.8,434270881992.01,1036924966268.37,531621243824.17,147960.06,288848.24,115803.43,276310.13,0.014541,0.021927,0.992713,0.992713,-0.0,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.87754,0.86963,56.35,0.6921,0.54,0.545,0.4086,0.0116,0.22,slow_growth,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,9,7,58,41,31
